rpm
"3ýTempo: 2.000112 s, Velocidade: 1391.02 RPM"
"Tempo: 2.202232 s, Velocidade: 3014.55 RPM"
"Tempo: 2.404352 s, Velocidade: 3027.90 RPM"
"Tempo: 2.606468 s, Velocidade: 3050.23 RPM"
"Tempo: 2.808604 s, Velocidade: 3069.22 RPM"
"Tempo: 3.010756 s, Velocidade: 3086.79 RPM"
"Tempo: 3.212872 s, Velocidade: 3112.57 RPM"
"Tempo: 3.415016 s, Velocidade: 3135.88 RPM"
"Tempo: 3.617184 s, Velocidade: 3153.32 RPM"
"Tempo: 3.819328 s, Velocidade: 3174.47 RPM"
"Tempo: 4.021516 s, Velocidade: 3190.10 RPM"
"Tempo: 4.223696 s, Velocidade: 3209.52 RPM"
"Tempo: 4.425864 s, Velocidade: 3227.51 RPM"
"Tempo: 4.628048 s, Velocidade: 3245.06 RPM"
"Tempo: 4.830220 s, Velocidade: 3260.10 RPM"
"Tempo: 5.032396 s, Velocidade: 3280.81 RPM"
"Tempo: 5.234580 s, Velocidade: 3295.51 RPM"
"Tempo: 5.436760 s, Velocidade: 3310.42 RPM"
"Tempo: 5.638940 s, Velocidade: 3328.22 RPM"
"Tempo: 5.841116 s, Velocidade: 3341.64 RPM"
"Tempo: 6.043280 s, Velocidade: 3356.68 RPM"
"Tempo: 6.245440 s, Velocidade: 3370.10 RPM"
"Tempo: 6.347584 s, Velocidade: 3374.65 RPM"
"Tempo: 6.449764 s, Velocidade: 3376.39 RPM"
"Tempo: 6.551944 s, Velocidade: 3376.39 RPM"
"Tempo: 6.654100 s, Velocidade: 3374.25 RPM"
"Tempo: 6.756248 s, Velocidade: 3377.45 RPM"
"Tempo: 6.858404 s, Velocidade: 3371.31 RPM"
"Tempo: 6.960568 s, Velocidade: 3373.99 RPM"
"Tempo: 7.062720 s, Velocidade: 3374.38 RPM"
"Tempo: 7.164896 s, Velocidade: 3370.65 RPM"
"Tempo: 7.267060 s, Velocidade: 3371.05 RPM"
"Tempo: 7.369216 s, Velocidade: 3371.31 RPM"
"Tempo: 7.471376 s, Velocidade: 3371.18 RPM"
"Tempo: 7.573536 s, Velocidade: 3374.12 RPM"
"Tempo: 7.675696 s, Velocidade: 3368.25 RPM"
"Tempo: 7.777856 s, Velocidade: 3368.25 RPM"
"Tempo: 7.880020 s, Velocidade: 3368.11 RPM"
"Tempo: 7.982184 s, Velocidade: 3368.11 RPM"
"Tempo: 8.084344 s, Velocidade: 3368.25 RPM"
"Tempo: 8.186492 s, Velocidade: 3362.77 RPM"
"Tempo: 8.288673 s, Velocidade: 3364.65 RPM"
"Tempo: 8.390829 s, Velocidade: 3359.57 RPM"
"Tempo: 8.492980 s, Velocidade: 3356.76 RPM"
"Tempo: 8.595132 s, Velocidade: 3356.76 RPM"
"Tempo: 8.697288 s, Velocidade: 3353.69 RPM"
"Tempo: 8.799441 s, Velocidade: 3347.95 RPM"
"Tempo: 8.901600 s, Velocidade: 3344.75 RPM"
"Tempo: 9.003728 s, Velocidade: 3331.11 RPM"
"Tempo: 9.105873 s, Velocidade: 3321.78 RPM"
"Tempo: 9.208004 s, Velocidade: 3316.30 RPM"
"Tempo: 9.310116 s, Velocidade: 3319.88 RPM"
"Tempo: 9.412253 s, Velocidade: 3330.85 RPM"
"Tempo: 9.514392 s, Velocidade: 3345.41 RPM"
"Tempo: 9.616548 s, Velocidade: 3347.82 RPM"
"Tempo: 9.718705 s, Velocidade: 3350.76 RPM"
"Tempo: 9.820877 s, Velocidade: 3344.36 RPM"
"Tempo: 9.923028 s, Velocidade: 3345.02 RPM"
"Tempo: 10.025173 s, Velocidade: 3342.34 RPM"
"Tempo: 10.127412 s, Velocidade: 3348.00 RPM"
"Tempo: 10.229600 s, Velocidade: 3346.77 RPM"
"Tempo: 10.331812 s, Velocidade: 3348.92 RPM"
"Tempo: 10.434017 s, Velocidade: 3349.18 RPM"
"Tempo: 10.536212 s, Velocidade: 3349.45 RPM"
"Tempo: 10.638432 s, Velocidade: 3351.59 RPM"
"Tempo: 10.740640 s, Velocidade: 3351.99 RPM"
"Tempo: 10.842832 s, Velocidade: 3352.51 RPM"
"Tempo: 10.945033 s, Velocidade: 3352.25 RPM"
"Tempo: 11.047228 s, Velocidade: 3352.38 RPM"
"Tempo: 11.149444 s, Velocidade: 3354.66 RPM"
"Tempo: 11.251645 s, Velocidade: 3355.19 RPM"
"Tempo: 11.353857 s, Velocidade: 3357.73 RPM"
"Tempo: 11.456081 s, Velocidade: 3354.40 RPM"
"Tempo: 11.558300 s, Velocidade: 3357.46 RPM"
"Tempo: 11.660492 s, Velocidade: 3355.45 RPM"
"Tempo: 11.762732 s, Velocidade: 3356.81 RPM"
"Tempo: 11.864936 s, Velocidade: 3357.99 RPM"
"Tempo: 11.967172 s, Velocidade: 3356.94 RPM"
"Tempo: 12.069396 s, Velocidade: 3357.33 RPM"
"Tempo: 12.171588 s, Velocidade: 3358.38 RPM"
"Tempo: 12.273789 s, Velocidade: 3358.12 RPM"
"Tempo: 12.376012 s, Velocidade: 3357.33 RPM"
"Tempo: 12.478237 s, Velocidade: 3357.33 RPM"
"Tempo: 12.580480 s, Velocidade: 3359.61 RPM"
"Tempo: 12.682681 s, Velocidade: 3358.12 RPM"
"Tempo: 12.784885 s, Velocidade: 3360.92 RPM"
"Tempo: 12.887101 s, Velocidade: 3357.60 RPM"
"Tempo: 12.989296 s, Velocidade: 3358.25 RPM"
"Tempo: 13.091545 s, Velocidade: 3359.48 RPM"
"Tempo: 13.193740 s, Velocidade: 3358.25 RPM"
"Tempo: 13.295976 s, Velocidade: 3359.87 RPM"
"Tempo: 13.398193 s, Velocidade: 3360.53 RPM"
"Tempo: 13.500392 s, Velocidade: 3361.06 RPM"
"Tempo: 13.602581 s, Velocidade: 3361.45 RPM"
"Tempo: 13.704776 s, Velocidade: 3361.19 RPM"
"Tempo: 13.806972 s, Velocidade: 3361.19 RPM"
"Tempo: 13.909165 s, Velocidade: 3361.32 RPM"
"Tempo: 14.011388 s, Velocidade: 3360.27 RPM"
"Tempo: 14.113589 s, Velocidade: 3361.06 RPM"
"Tempo: 14.215781 s, Velocidade: 3361.32 RPM"
"Tempo: 14.318024 s, Velocidade: 3362.54 RPM"
"Tempo: 14.420228 s, Velocidade: 3360.92 RPM"
"Tempo: 14.522428 s, Velocidade: 3361.06 RPM"
"Tempo: 14.624621 s, Velocidade: 3361.32 RPM"
"Tempo: 14.726848 s, Velocidade: 3363.07 RPM"
"Tempo: 14.829065 s, Velocidade: 3360.53 RPM"
"Tempo: 14.931257 s, Velocidade: 3361.32 RPM"
"Tempo: 15.033480 s, Velocidade: 3357.33 RPM"
"Tempo: 15.135668 s, Velocidade: 3343.84 RPM"
"Tempo: 15.237900 s, Velocidade: 3342.40 RPM"
"Tempo: 15.340092 s, Velocidade: 3343.71 RPM"
"Tempo: 15.442300 s, Velocidade: 3351.99 RPM"
"Tempo: 15.544485 s, Velocidade: 3358.65 RPM"
"Tempo: 15.646728 s, Velocidade: 3359.61 RPM"
"Tempo: 15.748932 s, Velocidade: 3357.99 RPM"
"Tempo: 15.851133 s, Velocidade: 3355.19 RPM"
"Tempo: 15.953380 s, Velocidade: 3353.61 RPM"
"Tempo: 16.055580 s, Velocidade: 3352.25 RPM"
"Tempo: 16.157768 s, Velocidade: 3352.64 RPM"
"Tempo: 16.259988 s, Velocidade: 3354.53 RPM"
"Tempo: 16.362211 s, Velocidade: 3354.40 RPM"
"Tempo: 16.464431 s, Velocidade: 3351.59 RPM"
"Tempo: 16.566652 s, Velocidade: 3348.66 RPM"
"Tempo: 16.668851 s, Velocidade: 3343.44 RPM"
"Tempo: 16.771087 s, Velocidade: 3342.27 RPM"
"Tempo: 16.873304 s, Velocidade: 3342.92 RPM"
"Tempo: 16.975500 s, Velocidade: 3346.51 RPM"
"Tempo: 17.077711 s, Velocidade: 3348.92 RPM"
"Tempo: 17.179912 s, Velocidade: 3358.12 RPM"
"Tempo: 17.282140 s, Velocidade: 3354.27 RPM"
"Tempo: 17.384359 s, Velocidade: 3354.53 RPM"
"Tempo: 17.486587 s, Velocidade: 3354.27 RPM"
"Tempo: 17.588808 s, Velocidade: 3354.53 RPM"
"Tempo: 17.690999 s, Velocidade: 3355.45 RPM"
"Tempo: 17.793212 s, Velocidade: 3357.73 RPM"
"Tempo: 17.895420 s, Velocidade: 3357.86 RPM"
"Tempo: 17.997619 s, Velocidade: 3361.06 RPM"
"Tempo: 18.099855 s, Velocidade: 3359.87 RPM"
"Tempo: 18.202068 s, Velocidade: 3363.60 RPM"
"Tempo: 18.304252 s, Velocidade: 3361.58 RPM"
"Tempo: 18.406480 s, Velocidade: 3366.01 RPM"
"Tempo: 18.508663 s, Velocidade: 3364.52 RPM"
"Tempo: 18.610883 s, Velocidade: 3366.27 RPM"
"Tempo: 18.713096 s, Velocidade: 3366.53 RPM"
"Tempo: 18.815340 s, Velocidade: 3368.41 RPM"
"Tempo: 18.917543 s, Velocidade: 3366.80 RPM"
"Tempo: 19.019739 s, Velocidade: 3367.06 RPM"
"Tempo: 19.121955 s, Velocidade: 3369.34 RPM"
"Tempo: 19.224159 s, Velocidade: 3369.73 RPM"
"Tempo: 19.326379 s, Velocidade: 3369.20 RPM"
"Tempo: 19.428575 s, Velocidade: 3369.99 RPM"
"Tempo: 19.530792 s, Velocidade: 3366.40 RPM"
"Tempo: 19.632999 s, Velocidade: 3366.66 RPM"
"Tempo: 19.735223 s, Velocidade: 3366.14 RPM"
"Tempo: 19.837427 s, Velocidade: 3363.86 RPM"
"Tempo: 19.939647 s, Velocidade: 3354.53 RPM"
"Tempo: 20.041864 s, Velocidade: 3348.79 RPM"
"Tempo: 20.144056 s, Velocidade: 3340.77 RPM"
"Tempo: 20.246259 s, Velocidade: 3337.44 RPM"
"Tempo: 20.348499 s, Velocidade: 3342.14 RPM"
"Tempo: 20.450719 s, Velocidade: 3342.79 RPM"
"Tempo: 20.552915 s, Velocidade: 3343.58 RPM"
"Tempo: 20.655155 s, Velocidade: 3348.00 RPM"
"Tempo: 20.757347 s, Velocidade: 3349.58 RPM"
"Tempo: 20.859575 s, Velocidade: 3348.40 RPM"
"Tempo: 20.961788 s, Velocidade: 3354.79 RPM"
"Tempo: 21.064027 s, Velocidade: 3353.87 RPM"
"Tempo: 21.166231 s, Velocidade: 3355.05 RPM"
"Tempo: 21.268432 s, Velocidade: 3355.19 RPM"
"Tempo: 21.370639 s, Velocidade: 3354.92 RPM"
"Tempo: 21.472856 s, Velocidade: 3354.66 RPM"
"Tempo: 21.575056 s, Velocidade: 3355.19 RPM"
"Tempo: 21.677295 s, Velocidade: 3356.81 RPM"
"Tempo: 21.779504 s, Velocidade: 3357.86 RPM"
"Tempo: 21.881708 s, Velocidade: 3357.99 RPM"
"Tempo: 21.983903 s, Velocidade: 3358.25 RPM"
"Tempo: 22.086099 s, Velocidade: 3358.25 RPM"
"Tempo: 22.188291 s, Velocidade: 3358.38 RPM"
"Tempo: 22.290491 s, Velocidade: 3358.12 RPM"
"Tempo: 22.392692 s, Velocidade: 3361.06 RPM"
"Tempo: 22.494932 s, Velocidade: 3356.81 RPM"
"Tempo: 22.597156 s, Velocidade: 3357.33 RPM"
"Tempo: 22.699375 s, Velocidade: 3357.46 RPM"
"Tempo: 22.801567 s, Velocidade: 3358.38 RPM"
"Tempo: 22.903783 s, Velocidade: 3357.60 RPM"
"Tempo: 23.006008 s, Velocidade: 3357.33 RPM"
"Tempo: 23.108200 s, Velocidade: 3361.32 RPM"
"Tempo: 23.210391 s, Velocidade: 3361.32 RPM"
"Tempo: 23.312612 s, Velocidade: 3363.33 RPM"
"Tempo: 23.414827 s, Velocidade: 3363.47 RPM"
"Tempo: 23.517051 s, Velocidade: 3363.20 RPM"
"Tempo: 23.619291 s, Velocidade: 3362.68 RPM"
"Tempo: 23.721504 s, Velocidade: 3354.79 RPM"
"Tempo: 23.823724 s, Velocidade: 3351.59 RPM"
"Tempo: 23.925931 s, Velocidade: 3351.99 RPM"
"Tempo: 24.028139 s, Velocidade: 3357.86 RPM"
"Tempo: 24.130340 s, Velocidade: 3361.06 RPM"
"Tempo: 24.232547 s, Velocidade: 3357.86 RPM"
"Tempo: 24.334747 s, Velocidade: 3355.19 RPM"
"Tempo: 24.436971 s, Velocidade: 3354.40 RPM"
"Tempo: 24.539188 s, Velocidade: 3357.60 RPM"
"Tempo: 24.641403 s, Velocidade: 3351.73 RPM"
"Tempo: 24.743627 s, Velocidade: 3357.33 RPM"
"Tempo: 24.845872 s, Velocidade: 3353.74 RPM"
"Tempo: 24.948072 s, Velocidade: 3355.19 RPM"
"Tempo: 25.050268 s, Velocidade: 3355.32 RPM"
"Tempo: 25.152492 s, Velocidade: 3357.33 RPM"
"Tempo: 25.254724 s, Velocidade: 3357.07 RPM"
"Tempo: 25.356920 s, Velocidade: 3355.32 RPM"
"Tempo: 25.459152 s, Velocidade: 3357.07 RPM"
"Tempo: 25.561355 s, Velocidade: 3355.05 RPM"
"Tempo: 25.663551 s, Velocidade: 3352.38 RPM"
"Tempo: 25.765775 s, Velocidade: 3354.40 RPM"
"Tempo: 25.868015 s, Velocidade: 3356.81 RPM"
"Tempo: 25.970212 s, Velocidade: 3355.32 RPM"
"Tempo: 26.072423 s, Velocidade: 3354.79 RPM"
"Tempo: 26.174619 s, Velocidade: 3355.32 RPM"
"Tempo: 26.276863 s, Velocidade: 3350.81 RPM"
"Tempo: 26.379091 s, Velocidade: 3354.27 RPM"
"Tempo: 26.481336 s, Velocidade: 3350.81 RPM"
"Tempo: 26.583536 s, Velocidade: 3352.25 RPM"
"Tempo: 26.685731 s, Velocidade: 3352.38 RPM"
"Tempo: 26.787935 s, Velocidade: 3352.12 RPM"
"Tempo: 26.890159 s, Velocidade: 3354.40 RPM"
"Tempo: 26.992391 s, Velocidade: 3351.20 RPM"
"Tempo: 27.094608 s, Velocidade: 3351.73 RPM"
"Tempo: 27.196800 s, Velocidade: 3352.51 RPM"
"Tempo: 27.298995 s, Velocidade: 3352.38 RPM"
"Tempo: 27.401191 s, Velocidade: 3352.38 RPM"
"Tempo: 27.503408 s, Velocidade: 3351.73 RPM"
"Tempo: 27.605619 s, Velocidade: 3351.86 RPM"
"Tempo: 27.707815 s, Velocidade: 3349.45 RPM"
"Tempo: 27.810039 s, Velocidade: 3351.46 RPM"
"Tempo: 27.912252 s, Velocidade: 3351.86 RPM"
"Tempo: 28.014455 s, Velocidade: 3349.18 RPM"
"Tempo: 28.116680 s, Velocidade: 3351.46 RPM"
"Tempo: 28.218908 s, Velocidade: 3351.33 RPM"
"Tempo: 28.321104 s, Velocidade: 3349.45 RPM"
"Tempo: 28.423347 s, Velocidade: 3350.81 RPM"
"Tempo: 28.525552 s, Velocidade: 3349.18 RPM"
"Tempo: 28.627784 s, Velocidade: 3354.14 RPM"
"Tempo: 28.730028 s, Velocidade: 3350.81 RPM"
"Tempo: 28.832239 s, Velocidade: 3351.86 RPM"
"Tempo: 28.934444 s, Velocidade: 3349.18 RPM"
"Tempo: 29.036663 s, Velocidade: 3351.59 RPM"
"Tempo: 29.138896 s, Velocidade: 3351.20 RPM"
"Tempo: 29.241100 s, Velocidade: 3349.18 RPM"
"Tempo: 29.343336 s, Velocidade: 3351.07 RPM"
"Tempo: 29.445560 s, Velocidade: 3348.53 RPM"
"Tempo: 29.547752 s, Velocidade: 3346.64 RPM"
"Tempo: 29.649967 s, Velocidade: 3345.86 RPM"
"Tempo: 29.752208 s, Velocidade: 3348.00 RPM"
"Tempo: 29.854419 s, Velocidade: 3345.99 RPM"
"Tempo: 29.956615 s, Velocidade: 3343.58 RPM"
"Tempo: 30.058820 s, Velocidade: 3343.31 RPM"
"Tempo: 30.161027 s, Velocidade: 3343.18 RPM"
"Tempo: 30.263248 s, Velocidade: 3339.86 RPM"
"Tempo: 30.365463 s, Velocidade: 3337.05 RPM"
"Tempo: 30.467655 s, Velocidade: 3337.83 RPM"
"Tempo: 30.569900 s, Velocidade: 3333.20 RPM"
"Tempo: 30.672079 s, Velocidade: 3329.42 RPM"
"Tempo: 30.774307 s, Velocidade: 3333.72 RPM"
"Tempo: 30.876504 s, Velocidade: 3328.90 RPM"
"Tempo: 30.978715 s, Velocidade: 3334.25 RPM"
"Tempo: 31.080919 s, Velocidade: 3343.31 RPM"
"Tempo: 31.183107 s, Velocidade: 3352.64 RPM"
"Tempo: 31.285308 s, Velocidade: 3352.25 RPM"
"Tempo: 31.387523 s, Velocidade: 3354.66 RPM"
"Tempo: 31.489751 s, Velocidade: 3348.40 RPM"
"Tempo: 31.591968 s, Velocidade: 3351.73 RPM"
"Tempo: 31.694192 s, Velocidade: 3351.46 RPM"
"Tempo: 31.796411 s, Velocidade: 3354.53 RPM"
"Tempo: 31.898639 s, Velocidade: 3351.33 RPM"
"Tempo: 32.000839 s, Velocidade: 3355.19 RPM"
"Tempo: 32.103046 s, Velocidade: 3354.92 RPM"
"Tempo: 32.205261 s, Velocidade: 3354.79 RPM"
"Tempo: 32.307479 s, Velocidade: 3357.46 RPM"
"Tempo: 32.409675 s, Velocidade: 3358.25 RPM"
"Tempo: 32.511867 s, Velocidade: 3358.38 RPM"
"Tempo: 32.614082 s, Velocidade: 3357.60 RPM"
"Tempo: 32.716281 s, Velocidade: 3358.25 RPM"
"Tempo: 32.818519 s, Velocidade: 3353.87 RPM"
"Tempo: 32.920738 s, Velocidade: 3354.53 RPM"
"Tempo: 33.022945 s, Velocidade: 3355.05 RPM"
"Tempo: 33.125144 s, Velocidade: 3358.12 RPM"
"Tempo: 33.227386 s, Velocidade: 3356.68 RPM"
"Tempo: 33.329589 s, Velocidade: 3355.19 RPM"
"Tempo: 33.431812 s, Velocidade: 3354.40 RPM"
"Tempo: 33.534038 s, Velocidade: 3354.27 RPM"
"Tempo: 33.636249 s, Velocidade: 3351.99 RPM"
"Tempo: 33.738468 s, Velocidade: 3351.59 RPM"
"Tempo: 33.840671 s, Velocidade: 3352.12 RPM"
"Tempo: 33.942897 s, Velocidade: 3351.46 RPM"
"Tempo: 34.045093 s, Velocidade: 3349.45 RPM"
"Tempo: 34.147304 s, Velocidade: 3348.92 RPM"
"Tempo: 34.249507 s, Velocidade: 3346.25 RPM"
"Tempo: 34.351722 s, Velocidade: 3345.86 RPM"
"Tempo: 34.453933 s, Velocidade: 3340.25 RPM"
"Tempo: 34.556171 s, Velocidade: 3342.14 RPM"
"Tempo: 34.658401 s, Velocidade: 3345.46 RPM"
"Tempo: 34.760620 s, Velocidade: 3351.59 RPM"
"Tempo: 34.862834 s, Velocidade: 3357.60 RPM"
"Tempo: 34.965030 s, Velocidade: 3361.19 RPM"
"Tempo: 35.067253 s, Velocidade: 3360.40 RPM"
"Tempo: 35.169445 s, Velocidade: 3361.32 RPM"
"Tempo: 35.271667 s, Velocidade: 3360.27 RPM"
"Tempo: 35.373897 s, Velocidade: 3360.14 RPM"
"Tempo: 35.476100 s, Velocidade: 3363.86 RPM"
"Tempo: 35.578311 s, Velocidade: 3360.66 RPM"
"Tempo: 35.680530 s, Velocidade: 3363.33 RPM"
"Tempo: 35.782764 s, Velocidade: 3365.87 RPM"
"Tempo: 35.884960 s, Velocidade: 3367.06 RPM"
"Tempo: 35.987171 s, Velocidade: 3369.47 RPM"
"Tempo: 36.089420 s, Velocidade: 3371.21 RPM"
"Tempo: 36.191608 s, Velocidade: 3367.32 RPM"
"Tempo: 36.293827 s, Velocidade: 3369.20 RPM"
"Tempo: 36.396026 s, Velocidade: 3366.93 RPM"
"Tempo: 36.498268 s, Velocidade: 3368.54 RPM"
"Tempo: 36.600463 s, Velocidade: 3367.06 RPM"
"Tempo: 36.702674 s, Velocidade: 3369.47 RPM"
"Tempo: 36.804870 s, Velocidade: 3369.99 RPM"
"Tempo: 36.907077 s, Velocidade: 3366.80 RPM"
"Tempo: 37.009288 s, Velocidade: 3369.47 RPM"
"Tempo: 37.111507 s, Velocidade: 3369.20 RPM"
"Tempo: 37.213718 s, Velocidade: 3369.47 RPM"
"Tempo: 37.315948 s, Velocidade: 3368.94 RPM"
"Tempo: 37.418186 s, Velocidade: 3371.48 RPM"
"Tempo: 37.520401 s, Velocidade: 3369.47 RPM"
"Tempo: 37.622631 s, Velocidade: 49229400.00 RPM"
"Tempo: 37.725074 s, Velocidade: 3370.62 RPM"
"Tempo: 37.827289 s, Velocidade: 3369.47 RPM"
"Tempo: 37.929508 s, Velocidade: 3369.20 RPM"
"Tempo: 38.031719 s, Velocidade: 3369.47 RPM"
"Tempo: 38.133960 s, Velocidade: 3371.48 RPM"
