tensao
Tempo (ms): 0 | Velocidade (RPM): 0.00
Tempo (ms): 100 | Velocidade (RPM): 1962.96
Tempo (ms): 201 | Velocidade (RPM): 4442.41
Tempo (ms): 303 | Velocidade (RPM): 6206.14
Tempo (ms): 405 | Velocidade (RPM): 7512.99
Tempo (ms): 506 | Velocidade (RPM): 8552.71
Tempo (ms): 608 | Velocidade (RPM): 9426.23
Tempo (ms): 710 | Velocidade (RPM): 10166.90
Tempo (ms): 812 | Velocidade (RPM): 10790.77
Tempo (ms): 914 | Velocidade (RPM): 11306.00
Tempo (ms): 1016 | Velocidade (RPM): 11754.74
Tempo (ms): 1119 | Velocidade (RPM): 12106.81
Tempo (ms): 1220 | Velocidade (RPM): 12362.15
Tempo (ms): 1323 | Velocidade (RPM): 12558.63
Tempo (ms): 1425 | Velocidade (RPM): 12676.30
Tempo (ms): 1527 | Velocidade (RPM): 12737.84
Tempo (ms): 1630 | Velocidade (RPM): 12734.96
Tempo (ms): 1732 | Velocidade (RPM): 12670.94
Tempo (ms): 1835 | Velocidade (RPM): 12544.94
Tempo (ms): 1937 | Velocidade (RPM): 12353.42
Tempo (ms): 2039 | Velocidade (RPM): 12093.37
Tempo (ms): 2142 | Velocidade (RPM): 11755.79
Tempo (ms): 2244 | Velocidade (RPM): 11315.16
Tempo (ms): 2345 | Velocidade (RPM): 10810.39
Tempo (ms): 2448 | Velocidade (RPM): 10214.18
Tempo (ms): 2550 | Velocidade (RPM): 9479.41
Tempo (ms): 2652 | Velocidade (RPM): 8632.88
Tempo (ms): 2754 | Velocidade (RPM): 7641.27
Tempo (ms): 2855 | Velocidade (RPM): 6534.06
Tempo (ms): 2957 | Velocidade (RPM): 5292.34
Tempo (ms): 3058 | Velocidade (RPM): 3979.58
Tempo (ms): 3160 | Velocidade (RPM): 2586.41
Tempo (ms): 3261 | Velocidade (RPM): 1080.86
Tempo (ms): 3362 | Velocidade (RPM): 44.45
Tempo (ms): 3463 | Velocidade (RPM): 0.00
Tempo (ms): 3564 | Velocidade (RPM): 0.00
Tempo (ms): 3665 | Velocidade (RPM): 0.00
Tempo (ms): 3766 | Velocidade (RPM): 0.00
Tempo (ms): 3867 | Velocidade (RPM): 0.00
Tempo (ms): 3969 | Velocidade (RPM): 0.00
Tempo (ms): 4069 | Velocidade (RPM): 0.00
Tempo (ms): 4170 | Velocidade (RPM): 0.00
Tempo (ms): 4271 | Velocidade (RPM): 0.00
Tempo (ms): 4372 | Velocidade (RPM): 0.00
Tempo (ms): 4473 | Velocidade (RPM): 0.00
Tempo (ms): 4574 | Velocidade (RPM): 0.00
Tempo (ms): 4675 | Velocidade (RPM): 0.00
Tempo (ms): 4776 | Velocidade (RPM): 0.00
Tempo (ms): 4877 | Velocidade (RPM): 0.00
Tempo (ms): 4978 | Velocidade (RPM): 0.00
Tempo (ms): 5080 | Velocidade (RPM): 0.00
Tempo (ms): 5180 | Velocidade (RPM): 0.00
Tempo (ms): 5281 | Velocidade (RPM): 0.00
Tempo (ms): 5382 | Velocidade (RPM): 0.00
Tempo (ms): 5483 | Velocidade (RPM): 0.00
Tempo (ms): 5584 | Velocidade (RPM): 0.00
Tempo (ms): 5685 | Velocidade (RPM): 0.00
Tempo (ms): 5786 | Velocidade (RPM): 0.00
Tempo (ms): 5888 | Velocidade (RPM): 0.00
Tempo (ms): 5988 | Velocidade (RPM): 0.00
Tempo (ms): 6089 | Velocidade (RPM): 0.00
Tempo (ms): 6191 | Velocidade (RPM): 5.94
Tempo (ms): 6291 | Velocidade (RPM): 44.52
Tempo (ms): 6392 | Velocidade (RPM): 198.77
Tempo (ms): 6494 | Velocidade (RPM): 524.68
Tempo (ms): 6595 | Velocidade (RPM): 1028.45
Tempo (ms): 6696 | Velocidade (RPM): 1892.17
Tempo (ms): 6798 | Velocidade (RPM): 2785.67
Tempo (ms): 6899 | Velocidade (RPM): 3872.17
Tempo (ms): 7001 | Velocidade (RPM): 4949.15
Tempo (ms): 7102 | Velocidade (RPM): 6032.62
Tempo (ms): 7203 | Velocidade (RPM): 7097.03
