tempo,PWM,RPM
0.009,255.0,0.0
0.019,165.746,180.0
0.029,44.542,420.0
0.039,16.536,480.0
0.049,51.002,420.0
0.059,85.672,360.0
0.069,73.539,390.0
0.079,61.304,420.0
0.089,80.305,390.0
0.099,68.07,420.0
0.109,87.071,390.0
0.119,90.505,390.0
0.129,62.601,450.0
0.139,65.831,450.0
0.149,84.73,420.0
0.159,72.393,450.0
0.169,59.954,480.0
0.179,63.082,480.0
0.189,81.879,450.0
0.199,85.109,450.0
0.209,72.67,480.0
0.219,75.798,480.0
0.229,78.926,480.0
0.239,66.386,510.0
0.249,85.081,480.0
0.259,88.209,480.0
0.269,75.668,510.0
0.279,78.694,510.0
0.289,66.051,540.0
0.3,68.975,540.0
0.309,71.899,540.0
0.319,74.823,540.0
0.329,93.416,510.0
0.339,80.773,540.0
0.349,68.028,570.0
0.359,86.519,540.0
0.369,73.774,570.0
0.379,92.265,540.0
0.389,79.52,570.0
0.399,66.673,600.0
0.409,69.393,600.0
0.419,72.113,600.0
0.429,74.833,600.0
0.439,93.222,570.0
0.449,80.375,600.0
0.459,83.095,600.0
0.47,70.146,630.0
0.479,88.433,600.0
0.489,75.484,630.0
0.499,78.102,630.0
0.509,80.72,630.0
0.519,67.669,660.0
0.529,85.854,630.0
0.539,72.803,660.0
0.549,90.988,630.0
0.559,77.937,660.0
0.569,96.122,630.0
0.579,83.071,660.0
0.589,69.918,690.0
0.599,72.332,690.0
0.609,74.746,690.0
0.619,77.16,690.0
0.629,95.243,660.0
0.64,82.09,690.0
0.649,84.504,690.0
0.659,86.919,690.0
0.669,73.664,720.0
0.679,91.645,690.0
0.689,78.39,720.0
0.699,65.033,750.0
0.709,82.912,720.0
0.719,85.224,720.0
0.729,103.205,690.0
0.739,74.281,750.0
0.749,92.16,720.0
0.759,78.803,750.0
0.769,65.344,780.0
0.779,83.121,750.0
0.789,85.331,750.0
0.799,87.541,750.0
0.809,74.082,780.0
0.819,91.859,750.0
0.829,94.069,750.0
0.839,80.61,780.0
0.849,67.049,810.0
0.859,84.724,780.0
0.869,86.832,780.0
0.879,88.94,780.0
0.889,91.048,780.0
0.899,93.156,780.0
0.909,79.595,810.0
0.919,65.932,840.0
0.929,83.505,810.0
0.94,101.18,780.0
0.949,87.619,810.0
0.959,73.956,840.0
0.969,91.529,810.0
0.979,93.535,810.0
0.989,79.872,840.0
0.999,81.776,840.0
1.009,83.68,840.0
1.019,85.584,840.0
1.029,87.488,840.0
1.039,105.061,810.0
1.049,75.729,870.0
1.059,93.2,840.0
1.069,79.435,870.0
1.079,81.237,870.0
1.089,83.039,870.0
1.099,84.841,870.0
1.11,86.643,870.0
1.119,104.114,840.0
1.129,90.349,870.0
1.139,76.482,900.0
1.149,62.513,930.0
1.159,95.449,870.0
1.169,97.251,870.0
1.179,99.053,870.0
1.189,85.186,900.0
1.199,86.886,900.0
1.209,72.917,930.0
1.219,90.184,900.0
1.229,91.884,900.0
1.239,93.584,900.0
1.249,95.284,900.0
1.259,81.315,930.0
1.269,82.913,930.0
1.28,84.511,930.0
1.289,86.109,930.0
1.299,87.707,930.0
1.309,104.974,900.0
1.319,91.005,930.0
1.329,92.603,930.0
1.339,78.532,960.0
1.349,80.028,960.0
1.359,97.193,930.0
1.369,98.791,930.0
1.379,84.72,960.0
1.389,86.216,960.0
1.399,87.712,960.0
1.409,89.208,960.0
1.419,90.704,960.0
1.429,92.2,960.0
1.439,93.696,960.0
1.449,95.192,960.0
1.459,81.019,990.0
1.469,82.413,990.0
1.479,83.807,990.0
1.489,100.871,960.0
1.499,102.367,960.0
1.509,88.194,990.0
1.519,89.588,990.0
1.529,75.313,1020.0
1.539,92.274,990.0
1.549,93.668,990.0
1.559,95.062,990.0
1.569,96.456,990.0
1.58,97.85,990.0
1.589,83.575,1020.0
1.599,84.867,1020.0
1.609,86.159,1020.0
1.619,103.12,990.0
1.629,88.845,1020.0
1.639,90.137,1020.0
1.649,91.429,1020.0
1.659,92.721,1020.0
1.669,94.013,1020.0
1.679,95.305,1020.0
1.689,80.928,1050.0
1.699,97.787,1020.0
1.709,99.079,1020.0
1.719,84.702,1050.0
1.729,85.892,1050.0
1.739,102.751,1020.0
1.75,88.374,1050.0
1.759,89.564,1050.0
1.769,90.754,1050.0
1.779,91.944,1050.0
1.789,108.803,1020.0
1.799,94.426,1050.0
1.809,79.947,1080.0
1.819,96.704,1050.0
1.829,97.894,1050.0
1.839,83.415,1080.0
1.849,100.172,1050.0
1.859,101.362,1050.0
1.869,86.883,1080.0
1.879,87.971,1080.0
1.889,89.059,1080.0
1.899,90.147,1080.0
1.909,106.904,1050.0
1.92,92.425,1080.0
1.929,93.513,1080.0
1.939,94.601,1080.0
1.949,95.689,1080.0
1.959,96.777,1080.0
1.969,82.196,1110.0
1.979,98.851,1080.0
1.989,84.27,1110.0
1.999,100.925,1080.0
2.269,96.583,1140.0
2.279,97.467,1140.0
2.289,82.682,1170.0
2.299,99.133,1140.0
2.309,100.017,1140.0
2.319,85.232,1170.0
2.329,101.683,1140.0
2.339,102.567,1140.0
2.349,87.782,1170.0
2.359,104.233,1140.0
2.369,89.448,1170.0
2.379,105.899,1140.0
2.39,91.114,1170.0
2.399,91.896,1170.0
2.409,92.678,1170.0
2.419,93.46,1170.0
2.429,94.242,1170.0
2.439,110.693,1140.0
2.449,95.908,1170.0
2.459,96.69,1170.0
2.469,81.803,1200.0
2.479,98.152,1170.0
2.489,114.603,1140.0
2.499,99.818,1170.0
2.509,84.931,1200.0
2.519,85.611,1200.0
2.529,101.96,1170.0
2.539,118.411,1140.0
2.549,87.957,1200.0
2.56,104.306,1170.0
2.569,89.419,1200.0
2.579,90.099,1200.0
2.589,106.448,1170.0
2.599,91.561,1200.0
2.609,92.241,1200.0
2.619,92.921,1200.0
2.629,109.27,1170.0
2.639,110.052,1170.0
2.649,95.165,1200.0
2.659,80.176,1230.0
2.669,96.423,1200.0
2.679,112.772,1170.0
2.689,97.885,1200.0
2.699,98.565,1200.0
2.709,83.576,1230.0
2.719,99.823,1200.0
2.729,100.503,1200.0
2.739,101.183,1200.0
2.749,101.863,1200.0
2.759,102.543,1200.0
2.769,87.554,1230.0
2.779,103.801,1200.0
2.789,104.481,1200.0
2.799,89.492,1230.0
2.809,90.07,1230.0
2.819,106.317,1200.0
2.829,91.328,1230.0
2.839,107.575,1200.0
2.849,92.586,1230.0
2.86,108.833,1200.0
2.869,93.844,1230.0
2.879,94.422,1230.0
2.889,95.0,1230.0
2.899,95.578,1230.0
2.909,111.825,1200.0
2.919,81.167,1260.0
2.929,112.981,1200.0
2.939,97.992,1230.0
2.949,98.57,1230.0
2.959,99.148,1230.0
2.969,99.726,1230.0
2.979,100.304,1230.0
2.989,100.882,1230.0
2.999,85.791,1260.0
3.009,101.936,1230.0
3.019,102.514,1230.0
3.03,87.423,1260.0
3.039,103.568,1230.0
3.049,104.146,1230.0
3.059,104.724,1230.0
3.069,105.302,1230.0
3.079,90.211,1260.0
3.089,90.687,1260.0
3.099,106.832,1230.0
3.109,91.741,1260.0
3.119,107.886,1230.0
3.129,92.795,1260.0
3.139,108.94,1230.0
3.149,93.849,1260.0
3.159,109.994,1230.0
3.169,94.903,1260.0
3.179,95.379,1260.0
3.189,111.524,1230.0
3.2,96.433,1260.0
3.209,96.909,1260.0
3.219,97.385,1260.0
3.229,97.861,1260.0
3.239,98.337,1260.0
3.249,98.814,1260.0
3.259,99.29,1260.0
3.269,115.435,1230.0
3.279,100.344,1260.0
3.289,85.151,1290.0
3.299,101.194,1260.0
3.309,86.001,1290.0
3.319,102.044,1260.0
3.329,118.189,1230.0
3.339,103.098,1260.0
3.349,87.905,1290.0
3.359,103.948,1260.0
3.369,88.755,1290.0
3.379,104.798,1260.0
3.389,105.274,1260.0
3.399,90.081,1290.0
3.409,106.124,1260.0
3.419,106.6,1260.0
3.429,107.076,1260.0
3.439,91.883,1290.0
3.449,92.257,1290.0
3.459,108.3,1260.0
3.469,108.776,1260.0
3.479,93.583,1290.0
3.489,93.957,1290.0
3.5,94.331,1290.0
3.509,110.374,1260.0
3.519,110.85,1260.0
3.529,95.657,1290.0
3.539,96.031,1290.0
3.549,96.405,1290.0
3.559,112.448,1260.0
3.569,97.255,1290.0
3.579,97.629,1290.0
3.589,98.003,1290.0
3.599,98.377,1290.0
3.609,114.42,1260.0
3.619,99.227,1290.0
3.629,99.601,1290.0
3.639,99.975,1290.0
3.649,100.349,1290.0
3.659,100.723,1290.0
3.67,101.097,1290.0
3.679,85.802,1320.0
3.689,101.743,1290.0
3.699,117.786,1260.0
3.709,102.593,1290.0
3.719,102.967,1290.0
3.729,103.341,1290.0
3.739,88.046,1320.0
3.749,103.987,1290.0
3.759,104.361,1290.0
3.769,104.735,1290.0
3.779,89.44,1320.0
3.789,105.381,1290.0
3.799,105.755,1290.0
3.809,106.129,1290.0
3.819,90.834,1320.0
3.829,106.775,1290.0
3.84,107.149,1290.0
3.849,91.854,1320.0
3.859,107.795,1290.0
3.869,92.5,1320.0
3.879,108.441,1290.0
3.889,93.146,1320.0
3.899,109.087,1290.0
3.909,93.792,1320.0
3.919,109.733,1290.0
3.929,110.107,1290.0
3.939,94.812,1320.0
3.949,95.084,1320.0
3.959,95.356,1320.0
3.969,95.628,1320.0
3.979,111.569,1290.0
3.989,111.943,1290.0
3.999,96.648,1320.0
4.009,96.92,1320.0
4.019,97.192,1320.0
4.029,113.133,1290.0
4.039,97.838,1320.0
4.049,98.11,1320.0
4.059,98.382,1320.0
4.069,98.654,1320.0
4.079,114.595,1290.0
4.089,99.3,1320.0
4.099,99.572,1320.0
4.109,99.844,1320.0
4.119,100.116,1320.0
4.129,100.388,1320.0
4.14,100.66,1320.0
4.149,100.932,1320.0
4.159,101.204,1320.0
4.169,101.476,1320.0
4.179,117.417,1290.0
4.189,102.122,1320.0
4.199,102.394,1320.0
4.209,86.997,1350.0
4.219,102.836,1320.0
4.229,103.108,1320.0
4.239,103.38,1320.0
4.249,103.652,1320.0
4.259,119.593,1290.0
4.529,111.166,1320.0
4.539,95.769,1350.0
4.549,111.608,1320.0
4.559,96.211,1350.0
4.569,96.381,1350.0
4.579,112.22,1320.0
4.589,96.823,1350.0
4.599,112.662,1320.0
4.609,97.265,1350.0
4.619,97.435,1350.0
4.629,113.274,1320.0
4.639,97.877,1350.0
4.649,113.716,1320.0
4.659,98.319,1350.0
4.669,98.489,1350.0
4.679,98.659,1350.0
4.689,98.829,1350.0
4.699,114.668,1320.0
