tempo,PWM,RPM
0.009,255.0,0.0
0.019,150.077,210.0
0.029,44.44,420.0
0.039,16.434,480.0
0.049,50.9,420.0
0.059,69.901,390.0
0.069,89.004,360.0
0.079,108.209,330.0
0.089,64.84,420.0
0.099,68.172,420.0
0.109,71.504,420.0
0.119,74.836,420.0
0.129,78.168,420.0
0.139,81.5,420.0
0.149,69.163,450.0
0.159,72.393,450.0
0.169,75.623,450.0
0.179,63.184,480.0
0.189,81.981,450.0
0.199,85.211,450.0
0.209,88.441,450.0
0.219,76.002,480.0
0.229,79.13,480.0
0.239,82.259,480.0
0.249,85.387,480.0
0.259,72.846,510.0
0.269,75.872,510.0
0.279,78.898,510.0
0.289,66.255,540.0
0.3,84.848,510.0
0.309,87.874,510.0
0.319,75.231,540.0
0.329,78.155,540.0
0.339,81.079,540.0
0.349,84.003,540.0
0.359,71.258,570.0
0.369,89.749,540.0
0.379,77.004,570.0
0.389,79.826,570.0
0.399,66.979,600.0
0.409,85.368,570.0
0.419,72.521,600.0
0.429,90.91,570.0
0.439,93.732,570.0
0.449,80.885,600.0
0.459,83.605,600.0
0.47,86.325,600.0
0.479,73.376,630.0
0.489,91.663,600.0
0.499,78.714,630.0
0.509,81.332,630.0
0.519,83.95,630.0
0.529,86.568,630.0
0.539,73.517,660.0
0.549,91.702,630.0
0.559,94.32,630.0
0.569,81.269,660.0
0.579,68.116,690.0
0.589,86.199,660.0
0.599,88.715,660.0
0.609,75.562,690.0
0.619,93.645,660.0
0.629,80.492,690.0
0.64,82.907,690.0
0.649,100.99,660.0
0.659,87.837,690.0
0.669,90.251,690.0
0.679,76.996,720.0
0.689,79.308,720.0
0.699,81.62,720.0
0.709,83.932,720.0
0.719,101.913,690.0
0.729,88.658,720.0
0.739,75.301,750.0
0.749,93.18,720.0
0.759,79.823,750.0
0.769,82.033,750.0
0.779,84.243,750.0
0.789,86.453,750.0
0.799,88.663,750.0
0.809,90.873,750.0
0.819,93.083,750.0
0.829,95.293,750.0
0.839,81.834,780.0
0.849,83.942,780.0
0.859,86.05,780.0
0.869,88.158,780.0
0.879,90.266,780.0
0.889,92.374,780.0
0.899,94.482,780.0
0.909,80.921,810.0
0.919,82.927,810.0
0.929,84.933,810.0
0.94,86.939,810.0
0.949,88.945,810.0
0.959,106.62,780.0
0.969,93.059,810.0
0.979,95.065,810.0
0.989,81.402,840.0
0.999,83.306,840.0
1.009,85.21,840.0
1.019,87.114,840.0
1.029,104.687,810.0
1.039,91.024,840.0
1.049,77.259,870.0
1.059,94.73,840.0
1.069,80.965,870.0
1.079,98.436,840.0
1.089,84.671,870.0
1.099,102.142,840.0
1.11,88.377,870.0
1.119,90.179,870.0
1.129,91.981,870.0
1.139,93.783,870.0
1.149,79.916,900.0
1.159,97.285,870.0
1.169,99.087,870.0
1.179,100.889,870.0
1.189,87.022,900.0
1.199,73.053,930.0
1.209,90.32,900.0
1.219,107.689,870.0
1.229,93.822,900.0
1.239,79.853,930.0
1.249,97.12,900.0
1.259,98.82,900.0
1.269,100.52,900.0
1.28,86.551,930.0
1.289,88.149,930.0
1.299,89.747,930.0
1.309,107.014,900.0
1.319,93.045,930.0
1.329,78.974,960.0
1.339,80.47,960.0
1.349,97.635,930.0
1.359,99.233,930.0
1.369,116.5,900.0
1.379,86.862,960.0
1.389,88.358,960.0
1.399,89.854,960.0
1.409,91.35,960.0
1.419,108.515,930.0
1.429,94.444,960.0
1.439,80.271,990.0
1.449,97.334,960.0
1.459,98.83,960.0
1.469,84.657,990.0
1.479,101.72,960.0
1.489,87.547,990.0
1.499,104.61,960.0
1.509,106.106,960.0
1.519,91.934,990.0
1.529,93.328,990.0
1.539,79.053,1020.0
1.549,111.683,960.0
1.559,97.51,990.0
1.569,83.235,1020.0
1.58,100.196,990.0
1.589,101.59,990.0
1.599,87.315,1020.0
1.609,104.276,990.0
1.619,90.001,1020.0
1.629,106.962,990.0
1.639,92.687,1020.0
1.649,93.979,1020.0
1.659,95.271,1020.0
1.669,96.563,1020.0
1.679,97.855,1020.0
1.689,114.816,990.0
1.699,84.872,1050.0
1.709,86.062,1050.0
1.719,102.921,1020.0
1.729,88.544,1050.0
1.739,105.403,1020.0
1.75,106.695,1020.0
1.759,107.987,1020.0
1.769,77.941,1080.0
1.779,94.698,1050.0
1.789,111.557,1020.0
1.799,97.18,1050.0
1.809,98.37,1050.0
1.819,83.891,1080.0
1.829,100.648,1050.0
1.839,101.838,1050.0
1.849,103.028,1050.0
1.859,104.218,1050.0
1.869,89.739,1080.0
1.879,106.496,1050.0
1.889,92.017,1080.0
1.899,93.105,1080.0
1.909,94.193,1080.0
1.92,110.95,1050.0
1.929,96.471,1080.0
1.939,81.89,1110.0
1.949,98.545,1080.0
1.959,115.302,1050.0
1.969,100.823,1080.0
1.979,101.911,1080.0
1.989,102.999,1080.0
1.999,88.418,1110.0
2.269,100.051,1140.0
2.279,100.935,1140.0
2.289,86.15,1170.0
2.299,102.601,1140.0
2.309,119.154,1110.0
2.319,88.802,1170.0
2.329,105.253,1140.0
2.339,106.137,1140.0
2.349,91.352,1170.0
2.359,92.134,1170.0
2.369,108.585,1140.0
2.379,109.469,1140.0
2.39,110.353,1140.0
2.399,111.237,1140.0
2.409,96.452,1170.0
2.419,81.565,1200.0
2.429,113.583,1140.0
2.439,98.798,1170.0
2.449,99.58,1170.0
2.459,100.362,1170.0
2.469,116.813,1140.0
2.479,102.028,1170.0
2.489,102.81,1170.0
2.499,103.592,1170.0
2.509,88.705,1200.0
2.519,105.054,1170.0
2.529,105.836,1170.0
2.539,106.618,1170.0
2.549,107.4,1170.0
2.56,92.513,1200.0
2.569,93.193,1200.0
2.579,109.542,1170.0
2.589,110.324,1170.0
2.599,111.106,1170.0
2.609,96.219,1200.0
2.619,96.899,1200.0
2.629,113.248,1170.0
2.639,98.361,1200.0
2.649,99.041,1200.0
2.659,99.721,1200.0
2.669,100.401,1200.0
2.679,116.75,1170.0
2.689,101.863,1200.0
2.699,102.543,1200.0
2.709,103.223,1200.0
2.719,103.903,1200.0
2.729,104.583,1200.0
2.739,105.263,1200.0
2.749,105.943,1200.0
2.759,90.954,1230.0
2.769,107.201,1200.0
2.779,107.881,1200.0
2.789,108.561,1200.0
2.799,109.241,1200.0
2.809,109.921,1200.0
2.819,94.932,1230.0
2.829,95.51,1230.0
2.839,111.757,1200.0
2.849,112.437,1200.0
2.86,97.448,1230.0
