PWM,RPM
731.22,0.0
641.966,180.0
458.086,540.0
319.989,810.0
196.643,1050.0
119.488,1200.0
104.499,1230.0
105.077,1230.0
89.986,1260.0
90.462,1260.0
106.607,1230.0
107.185,1230.0
107.763,1230.0
108.341,1230.0
93.25,1260.0
93.726,1260.0
109.871,1230.0
110.449,1230.0
95.358,1260.0
111.503,1230.0
96.412,1260.0
96.888,1260.0
113.033,1230.0
97.942,1260.0
114.087,1230.0
98.996,1260.0
115.141,1230.0
100.05,1260.0
84.857,1290.0
116.569,1230.0
101.478,1260.0
101.954,1260.0
118.099,1230.0
103.008,1260.0
87.815,1290.0
103.858,1260.0
120.003,1230.0
104.912,1260.0
89.719,1290.0
105.762,1260.0
106.238,1260.0
106.714,1260.0
107.19,1260.0
107.666,1260.0
108.142,1260.0
92.949,1290.0
108.992,1260.0
109.468,1260.0
94.275,1290.0
94.649,1290.0
110.692,1260.0
111.168,1260.0
111.644,1260.0
112.12,1260.0
96.927,1290.0
97.301,1290.0
113.344,1260.0
98.151,1290.0
98.525,1290.0
114.568,1260.0
99.375,1290.0
99.749,1290.0
115.792,1260.0
100.599,1290.0
116.642,1260.0
101.449,1290.0
101.823,1290.0
102.197,1290.0
102.571,1290.0
102.945,1290.0
118.988,1260.0
103.795,1290.0
104.169,1290.0
104.543,1290.0
104.917,1290.0
105.291,1290.0
89.996,1320.0
121.606,1260.0
106.413,1290.0
91.118,1320.0
107.059,1290.0
123.102,1260.0
107.909,1290.0
92.614,1320.0
92.886,1320.0
108.827,1290.0
124.871,1260.0
109.678,1290.0
94.383,1320.0
110.324,1290.0
110.698,1290.0
95.403,1320.0
111.344,1290.0
111.718,1290.0
96.423,1320.0
112.364,1290.0
112.738,1290.0
97.443,1320.0
113.384,1290.0
98.089,1320.0
114.03,1290.0
98.735,1320.0
114.676,1290.0
99.381,1320.0
99.653,1320.0
115.594,1290.0
100.299,1320.0
116.24,1290.0
100.945,1320.0
101.217,1320.0
117.158,1290.0
101.863,1320.0
102.135,1320.0
102.407,1320.0
102.679,1320.0
118.62,1290.0
103.325,1320.0
103.597,1320.0
119.538,1290.0
104.243,1320.0
104.515,1320.0
89.118,1350.0
104.957,1320.0
120.898,1290.0
121.272,1290.0
90.308,1350.0
106.147,1320.0
106.419,1320.0
106.691,1320.0
122.632,1290.0
91.668,1350.0
107.507,1320.0
107.779,1320.0
108.051,1320.0
108.323,1320.0
108.595,1320.0
108.867,1320.0
109.139,1320.0
109.411,1320.0
94.014,1350.0
109.853,1320.0
110.125,1320.0
110.397,1320.0
110.669,1320.0
95.272,1350.0
111.111,1320.0
111.383,1320.0
95.986,1350.0
111.825,1320.0
112.097,1320.0
96.7,1350.0
112.539,1320.0
112.811,1320.0
113.083,1320.0
97.686,1350.0
113.525,1320.0
98.128,1350.0
113.967,1320.0
98.57,1350.0
114.409,1320.0
114.681,1320.0
99.284,1350.0
99.454,1350.0
115.293,1320.0
115.565,1320.0
100.168,1350.0
116.007,1320.0
100.61,1350.0
100.78,1350.0
116.619,1320.0
101.222,1350.0
101.392,1350.0
117.231,1320.0
117.503,1320.0
102.106,1350.0
102.276,1350.0
102.446,1350.0
102.616,1350.0
118.455,1320.0
118.727,1320.0
103.33,1350.0
103.5,1350.0
103.67,1350.0
103.84,1350.0
119.679,1320.0
104.282,1350.0
104.452,1350.0
120.291,1320.0
104.894,1350.0
89.395,1380.0
120.801,1320.0
105.404,1350.0
105.574,1350.0
121.413,1320.0
106.016,1350.0
90.517,1380.0
106.254,1350.0
122.093,1320.0
106.696,1350.0
106.866,1350.0
111.762,1350.0
111.932,1350.0
112.102,1350.0
96.603,1380.0
112.34,1350.0
112.51,1350.0
112.68,1350.0
112.85,1350.0
97.351,1380.0
113.088,1350.0
97.589,1380.0
113.326,1350.0
113.496,1350.0
113.666,1350.0
98.167,1380.0
113.904,1350.0
114.074,1350.0
98.575,1380.0
114.312,1350.0
98.813,1380.0
114.55,1350.0
114.72,1350.0
99.221,1380.0
114.958,1350.0
115.128,1350.0
99.629,1380.0
115.366,1350.0
99.867,1380.0
115.604,1350.0
100.105,1380.0
115.842,1350.0
116.012,1350.0
100.513,1380.0
116.25,1350.0
116.42,1350.0
100.921,1380.0
100.989,1380.0
101.057,1380.0
116.794,1350.0
116.964,1350.0
101.465,1380.0
117.202,1350.0
101.703,1380.0
117.44,1350.0
101.941,1380.0
102.009,1380.0
117.746,1350.0
102.247,1380.0
117.984,1350.0
102.485,1380.0
102.553,1380.0
118.29,1350.0
118.46,1350.0
102.961,1380.0
103.029,1380.0
103.097,1380.0
118.834,1350.0
103.335,1380.0
119.072,1350.0
103.573,1380.0
103.641,1380.0
119.378,1350.0
103.879,1380.0
103.947,1380.0
119.684,1350.0
104.185,1380.0
104.253,1380.0
104.321,1380.0
120.058,1350.0
120.228,1350.0
104.729,1380.0
89.128,1410.0
104.763,1380.0
120.5,1350.0
105.001,1380.0
120.738,1350.0
105.239,1380.0
105.307,1380.0
105.375,1380.0
105.443,1380.0
105.511,1380.0
121.248,1350.0
105.749,1380.0
105.817,1380.0
121.554,1350.0
106.055,1380.0
106.123,1380.0
106.191,1380.0
106.259,1380.0
106.327,1380.0
122.064,1350.0
106.565,1380.0
106.633,1380.0
106.701,1380.0
106.769,1380.0
106.837,1380.0
106.905,1380.0
122.642,1350.0
107.143,1380.0
107.211,1380.0
107.279,1380.0
107.347,1380.0
107.415,1380.0
107.483,1380.0
123.22,1350.0
107.721,1380.0
92.12,1410.0
123.424,1350.0
107.925,1380.0
107.993,1380.0
108.061,1380.0
108.129,1380.0
108.197,1380.0
123.934,1350.0
108.435,1380.0
92.834,1410.0
108.469,1380.0
124.206,1350.0
108.707,1380.0
108.775,1380.0
