PWM,RPM
255.0,0.0
165.746,180.0
44.542,420.0
16.536,480.0
51.002,420.0
85.672,360.0
73.539,390.0
61.304,420.0
80.305,390.0
68.07,420.0
87.071,390.0
90.505,390.0
62.601,450.0
65.831,450.0
84.73,420.0
72.393,450.0
59.954,480.0
63.082,480.0
81.879,450.0
85.109,450.0
72.67,480.0
75.798,480.0
78.926,480.0
66.386,510.0
85.081,480.0
88.209,480.0
75.668,510.0
78.694,510.0
66.051,540.0
68.975,540.0
71.899,540.0
74.823,540.0
93.416,510.0
80.773,540.0
68.028,570.0
86.519,540.0
73.774,570.0
92.265,540.0
79.52,570.0
66.673,600.0
69.393,600.0
72.113,600.0
74.833,600.0
93.222,570.0
80.375,600.0
83.095,600.0
70.146,630.0
88.433,600.0
75.484,630.0
78.102,630.0
80.72,630.0
67.669,660.0
85.854,630.0
72.803,660.0
90.988,630.0
77.937,660.0
96.122,630.0
83.071,660.0
69.918,690.0
72.332,690.0
74.746,690.0
77.16,690.0
95.243,660.0
82.09,690.0
84.504,690.0
86.919,690.0
73.664,720.0
91.645,690.0
78.39,720.0
65.033,750.0
82.912,720.0
85.224,720.0
103.205,690.0
74.281,750.0
92.16,720.0
78.803,750.0
65.344,780.0
83.121,750.0
85.331,750.0
87.541,750.0
74.082,780.0
91.859,750.0
94.069,750.0
80.61,780.0
67.049,810.0
84.724,780.0
86.832,780.0
88.94,780.0
91.048,780.0
93.156,780.0
79.595,810.0
65.932,840.0
83.505,810.0
101.18,780.0
87.619,810.0
73.956,840.0
91.529,810.0
93.535,810.0
79.872,840.0
81.776,840.0
83.68,840.0
85.584,840.0
87.488,840.0
105.061,810.0
75.729,870.0
93.2,840.0
79.435,870.0
81.237,870.0
83.039,870.0
84.841,870.0
86.643,870.0
104.114,840.0
90.349,870.0
76.482,900.0
62.513,930.0
95.449,870.0
97.251,870.0
99.053,870.0
85.186,900.0
86.886,900.0
72.917,930.0
90.184,900.0
91.884,900.0
93.584,900.0
95.284,900.0
81.315,930.0
82.913,930.0
84.511,930.0
86.109,930.0
87.707,930.0
104.974,900.0
91.005,930.0
92.603,930.0
78.532,960.0
80.028,960.0
97.193,930.0
98.791,930.0
84.72,960.0
86.216,960.0
87.712,960.0
89.208,960.0
90.704,960.0
92.2,960.0
93.696,960.0
95.192,960.0
81.019,990.0
82.413,990.0
83.807,990.0
100.871,960.0
