tempo,RPM
0.009,0.0
0.019,210.0
0.029,540.0
0.039,780.0
0.049,1050.0
0.059,1140.0
0.069,1230.0
0.079,1260.0
0.089,1260.0
0.099,1230.0
0.109,1230.0
0.119,1230.0
0.129,1230.0
0.139,1260.0
0.149,1200.0
0.159,1230.0
0.169,1230.0
0.179,1260.0
0.189,1230.0
0.199,1230.0
0.209,1260.0
0.219,1230.0
0.229,1260.0
0.239,1260.0
0.249,1230.0
0.259,1230.0
0.269,1230.0
0.279,1260.0
0.289,1230.0
0.3,1260.0
0.309,1260.0
0.319,1260.0
0.329,1260.0
0.339,1260.0
0.349,1230.0
0.359,1260.0
0.369,1260.0
0.379,1230.0
0.389,1260.0
0.399,1260.0
0.409,1290.0
0.419,1260.0
0.429,1260.0
0.439,1260.0
0.449,1260.0
0.459,1230.0
0.47,1290.0
0.479,1260.0
0.489,1260.0
0.499,1260.0
0.509,1260.0
0.519,1290.0
0.529,1290.0
0.539,1260.0
0.549,1230.0
0.559,1290.0
0.569,1260.0
0.579,1290.0
0.589,1260.0
0.599,1290.0
0.609,1290.0
0.619,1290.0
0.629,1260.0
0.64,1260.0
0.649,1290.0
0.659,1260.0
0.669,1290.0
0.679,1260.0
0.689,1290.0
0.699,1290.0
0.709,1290.0
0.719,1290.0
0.729,1260.0
0.739,1290.0
0.749,1290.0
0.759,1260.0
0.769,1290.0
0.779,1290.0
0.789,1320.0
0.799,1290.0
0.809,1260.0
0.819,1290.0
0.829,1290.0
0.839,1290.0
0.849,1290.0
0.859,1290.0
0.869,1290.0
0.879,1320.0
0.889,1290.0
0.899,1290.0
0.909,1290.0
0.919,1290.0
0.929,1290.0
0.94,1320.0
0.949,1290.0
0.959,1290.0
0.969,1290.0
0.979,1320.0
0.989,1290.0
0.999,1290.0
1.009,1320.0
1.019,1290.0
1.029,1290.0
1.039,1320.0
1.049,1290.0
1.059,1320.0
1.069,1290.0
1.079,1320.0
1.089,1320.0
1.099,1290.0
1.11,1290.0
1.119,1320.0
1.129,1320.0
1.139,1290.0
1.149,1290.0
1.159,1320.0
1.169,1350.0
1.179,1320.0
1.189,1290.0
1.199,1290.0
1.209,1320.0
1.219,1320.0
1.229,1320.0
1.239,1320.0
1.249,1320.0
1.259,1320.0
1.269,1320.0
1.28,1290.0
1.289,1320.0
1.299,1290.0
1.309,1350.0
1.319,1290.0
1.329,1320.0
1.339,1350.0
1.349,1320.0
1.359,1320.0
1.369,1320.0
1.379,1290.0
1.389,1320.0
1.399,1350.0
1.409,1320.0
1.419,1290.0
1.429,1320.0
1.439,1350.0
1.449,1350.0
1.459,1320.0
1.469,1290.0
1.479,1320.0
1.489,1350.0
1.499,1320.0
1.509,1320.0
1.519,1350.0
1.529,1320.0
1.539,1350.0
1.549,1320.0
1.559,1320.0
1.569,1320.0
1.58,1320.0
1.589,1320.0
1.599,1350.0
1.609,1320.0
1.619,1350.0
1.629,1350.0
1.639,1320.0
1.649,1320.0
1.659,1320.0
1.669,1350.0
1.679,1320.0
1.689,1350.0
1.699,1320.0
1.709,1350.0
1.719,1350.0
1.729,1320.0
1.739,1350.0
1.75,1320.0
1.759,1350.0
1.769,1320.0
1.779,1350.0
1.789,1320.0
1.799,1350.0
1.809,1350.0
1.819,1350.0
1.829,1350.0
1.839,1320.0
1.849,1320.0
1.859,1350.0
1.869,1320.0
1.879,1350.0
1.889,1380.0
1.899,1350.0
1.909,1350.0
1.92,1320.0
1.929,1320.0
1.939,1350.0
1.949,1350.0
1.959,1350.0
1.969,1350.0
1.979,1350.0
1.989,1350.0
1.999,1350.0
2.269,1320.0
2.279,1350.0
2.289,1380.0
2.299,1350.0
2.309,1350.0
2.319,1350.0
2.329,1350.0
2.339,1380.0
2.349,1350.0
2.359,1350.0
2.369,1350.0
2.379,1380.0
2.39,1350.0
2.399,1350.0
2.409,1350.0
2.419,1350.0
2.429,1380.0
2.439,1380.0
2.449,1350.0
2.459,1320.0
2.469,1380.0
2.479,1350.0
2.489,1350.0
2.499,1380.0
2.509,1380.0
2.519,1350.0
2.529,1350.0
2.539,1380.0
2.549,1350.0
2.56,1350.0
2.569,1350.0
2.579,1380.0
2.589,1350.0
2.599,1380.0
2.609,1350.0
2.619,1380.0
2.629,1350.0
2.639,1380.0
2.649,1350.0
2.659,1350.0
2.669,1380.0
2.679,1350.0
2.689,1380.0
2.699,1380.0
2.709,1380.0
2.719,1350.0
2.729,1350.0
2.739,1350.0
2.749,1380.0
2.759,1350.0
2.769,1380.0
2.779,1380.0
2.789,1380.0
2.799,1350.0
2.809,1350.0
2.819,1380.0
2.829,1350.0
2.839,1380.0
2.849,1350.0
2.86,1380.0
2.869,1380.0
2.879,1380.0
2.889,1350.0
2.899,1350.0
2.909,1380.0
2.919,1380.0
2.929,1350.0
2.939,1380.0
2.949,1350.0
2.959,1380.0
2.969,1380.0
2.979,1380.0
2.989,1350.0
2.999,1380.0
3.009,1350.0
3.019,1350.0
3.03,1380.0
3.039,1410.0
3.049,1380.0
3.059,1350.0
3.069,1350.0
3.079,1380.0
3.089,1350.0
3.099,1380.0
3.109,1380.0
3.119,1380.0
3.129,1380.0
3.139,1380.0
3.149,1350.0
3.159,1380.0
3.169,1350.0
3.179,1380.0
3.189,1380.0
3.2,1380.0
3.209,1380.0
3.219,1380.0
3.229,1350.0
3.239,1380.0
3.249,1380.0
3.259,1350.0
3.269,1380.0
3.279,1380.0
3.289,1380.0
3.299,1380.0
3.309,1380.0
3.319,1380.0
3.329,1350.0
3.339,1380.0
