tempo,RPM
0.009,0.0
0.019,180.0
0.029,480.0
0.039,780.0
0.049,870.0
0.059,870.0
0.069,870.0
0.079,840.0
0.089,840.0
0.099,840.0
0.109,810.0
0.119,840.0
0.129,870.0
0.139,810.0
0.149,840.0
0.159,840.0
0.169,870.0
0.179,840.0
0.189,840.0
0.199,840.0
0.209,870.0
0.219,840.0
0.229,840.0
0.239,870.0
0.249,870.0
0.259,840.0
0.269,840.0
0.279,840.0
0.289,870.0
0.3,840.0
0.309,870.0
0.319,870.0
0.329,840.0
0.339,870.0
0.349,870.0
0.359,840.0
0.369,870.0
0.379,870.0
0.389,870.0
0.399,870.0
0.409,840.0
0.419,840.0
0.429,870.0
0.439,900.0
0.449,870.0
0.459,870.0
0.47,870.0
0.479,840.0
0.489,870.0
0.499,900.0
0.509,870.0
0.519,870.0
0.529,870.0
0.539,900.0
0.549,870.0
0.559,840.0
0.569,870.0
0.579,900.0
0.589,870.0
0.599,900.0
0.609,870.0
0.619,870.0
0.629,900.0
0.64,870.0
0.649,900.0
0.659,870.0
0.669,900.0
0.679,870.0
0.689,900.0
0.699,870.0
0.709,900.0
0.719,870.0
0.729,900.0
0.739,900.0
0.749,900.0
0.759,870.0
0.769,900.0
0.779,900.0
0.789,900.0
0.799,900.0
0.809,870.0
0.819,900.0
0.829,900.0
0.839,900.0
0.849,900.0
0.859,870.0
0.869,900.0
0.879,930.0
0.889,900.0
0.899,900.0
0.909,900.0
0.919,900.0
0.929,900.0
0.94,900.0
0.949,900.0
0.959,900.0
0.969,900.0
0.979,900.0
0.989,900.0
0.999,930.0
1.009,900.0
1.019,900.0
1.029,930.0
1.039,900.0
1.049,900.0
1.059,930.0
1.069,900.0
1.079,900.0
1.089,930.0
1.099,900.0
1.11,900.0
1.119,900.0
1.129,930.0
1.139,900.0
1.149,930.0
1.159,930.0
1.169,900.0
1.179,930.0
1.189,900.0
1.199,930.0
1.209,930.0
1.219,900.0
1.229,900.0
1.239,930.0
1.249,900.0
1.259,930.0
1.269,960.0
1.28,900.0
1.289,930.0
1.299,900.0
1.309,930.0
1.319,930.0
1.329,900.0
1.339,930.0
1.349,930.0
1.359,930.0
1.369,930.0
1.379,900.0
1.389,930.0
1.399,960.0
1.409,900.0
1.419,930.0
1.429,930.0
1.439,930.0
1.449,930.0
1.459,930.0
1.469,930.0
1.479,930.0
1.489,900.0
1.499,930.0
1.509,960.0
1.519,930.0
1.529,930.0
1.539,930.0
1.549,930.0
1.559,930.0
1.569,960.0
1.58,930.0
1.589,930.0
1.599,930.0
1.609,930.0
1.619,930.0
1.629,930.0
1.639,930.0
1.649,960.0
1.659,930.0
1.669,960.0
1.679,930.0
1.689,930.0
1.699,930.0
1.709,930.0
1.719,960.0
1.729,930.0
1.739,960.0
1.75,930.0
1.759,930.0
1.769,930.0
1.779,960.0
1.789,960.0
1.799,930.0
1.809,930.0
1.819,960.0
1.829,930.0
1.839,960.0
1.849,960.0
1.859,930.0
1.869,930.0
1.879,930.0
1.889,960.0
1.899,930.0
1.909,960.0
1.92,960.0
1.929,960.0
1.939,930.0
1.949,930.0
1.959,960.0
1.969,960.0
1.979,960.0
1.989,930.0
1.999,930.0
2.249,930.0
2.259,960.0
2.269,960.0
2.279,960.0
2.289,960.0
2.299,960.0
2.309,960.0
2.319,960.0
2.329,960.0
2.339,960.0
2.349,960.0
2.359,960.0
2.369,960.0
2.379,930.0
2.39,960.0
2.399,960.0
2.409,990.0
2.419,960.0
2.429,960.0
2.439,960.0
2.449,960.0
2.459,960.0
2.469,960.0
2.479,960.0
2.489,960.0
2.499,960.0
2.509,960.0
2.519,960.0
2.529,960.0
2.539,990.0
2.549,960.0
2.56,960.0
2.569,960.0
2.579,960.0
2.589,960.0
2.599,960.0
2.609,990.0
2.619,960.0
2.629,960.0
2.639,960.0
2.649,960.0
2.659,960.0
2.669,990.0
2.679,960.0
2.689,960.0
2.699,960.0
2.709,990.0
2.719,960.0
2.729,990.0
2.739,960.0
2.749,960.0
2.759,930.0
2.769,990.0
2.779,960.0
2.789,990.0
2.799,990.0
2.809,960.0
2.819,930.0
2.829,990.0
2.839,990.0
2.849,960.0
2.86,960.0
2.869,990.0
2.879,960.0
2.889,930.0
2.899,990.0
2.909,990.0
2.919,990.0
2.929,960.0
2.939,960.0
2.949,960.0
2.959,990.0
2.969,960.0
2.979,990.0
2.989,960.0
2.999,960.0
3.009,990.0
3.019,960.0
3.03,990.0
3.039,960.0
3.049,990.0
3.059,960.0
3.069,990.0
3.079,960.0
3.089,990.0
3.099,960.0
3.109,990.0
3.119,960.0
3.129,960.0
3.139,960.0
3.149,990.0
3.159,990.0
3.169,990.0
3.179,990.0
3.189,960.0
3.2,960.0
3.209,960.0
3.219,990.0
3.229,990.0
3.239,990.0
3.249,960.0
3.259,960.0
3.269,990.0
3.279,990.0
3.289,960.0
3.299,990.0
3.309,960.0
3.319,990.0
3.329,990.0
3.339,960.0
3.349,990.0
3.359,990.0
3.369,960.0
3.379,960.0
3.389,990.0
3.399,990.0
3.409,990.0
3.419,960.0
3.429,990.0
3.439,960.0
3.449,990.0
3.459,960.0
3.469,990.0
3.479,990.0
3.489,990.0
3.5,960.0
3.509,960.0
3.519,990.0
3.529,990.0
3.539,990.0
3.549,960.0
3.559,990.0
3.569,990.0
3.579,990.0
3.589,960.0
3.599,990.0
3.609,990.0
3.619,960.0
3.629,960.0
3.639,990.0
3.649,1020.0
3.659,960.0
3.67,990.0
3.679,990.0
3.689,960.0
3.699,990.0
3.709,990.0
3.719,990.0
3.729,960.0
3.739,960.0
3.749,990.0
3.759,990.0
3.769,1020.0
3.779,960.0
3.789,990.0
3.799,960.0
3.809,990.0
3.819,990.0
3.829,1020.0
3.84,960.0
3.849,990.0
3.859,960.0
3.869,990.0
3.879,990.0
3.889,990.0
3.899,990.0
3.909,960.0
3.919,990.0
3.929,990.0
3.939,990.0
3.949,990.0
3.959,990.0
3.969,990.0
3.979,960.0
3.989,990.0
3.999,960.0
4.009,990.0
4.019,1020.0
4.029,990.0
4.039,960.0
4.049,990.0
4.059,990.0
4.069,960.0
4.079,1020.0
4.089,990.0
