tempo,erro,velocidade
0.02,0.60,0.00
0.03,0.60,0.00
0.04,0.60,0.00
0.05,0.60,0.00
0.06,0.60,0.00
0.07,0.60,0.00
0.08,0.60,0.00
0.09,0.60,0.00
0.10,0.60,0.00
0.11,0.60,0.00
0.12,0.60,0.00
0.14,0.60,0.00
0.16,0.60,0.00
0.17,0.60,0.00
0.19,0.60,0.00
0.21,0.60,0.00
0.22,0.60,0.00
0.24,0.60,0.00
0.26,0.60,0.00
0.27,0.60,0.00
0.29,0.60,0.00
0.31,0.60,0.00
0.32,0.60,0.00
0.34,0.60,0.00
0.36,0.60,0.00
0.37,0.60,0.00
0.39,0.60,0.00
0.41,0.60,0.00
0.42,0.60,0.00
0.44,0.60,0.00
0.46,0.60,0.00
0.47,0.59,18.04
0.49,0.60,0.00
0.51,0.60,0.00
0.53,0.60,0.00
0.54,0.60,0.00
0.56,0.59,18.03
0.58,0.60,0.00
0.59,0.59,36.06
0.61,0.58,50.90
0.63,0.57,84.84
0.65,0.56,101.81
0.67,0.55,128.21
0.68,0.53,176.28
0.70,0.51,224.36
0.72,0.50,272.15
0.74,0.50,272.73
0.76,0.48,320.51
0.78,0.46,352.56
0.80,0.45,384.62
0.81,0.43,432.69
0.83,0.42,464.45
0.85,0.40,512.60
0.87,0.39,545.45
0.89,0.38,576.92
0.91,0.37,608.97
0.93,0.35,657.05
0.95,0.34,673.08
0.96,0.32,720.69
0.98,0.31,753.69
1.00,0.30,769.23
1.02,0.29,800.94
1.04,0.27,849.72
1.06,0.27,865.01
1.08,0.25,897.24
1.10,0.24,929.29
1.12,0.24,945.71
1.13,0.22,978.19
1.15,0.21,1008.54
1.17,0.20,1032.39
1.19,0.20,1047.78
1.21,0.19,1078.81
1.23,0.18,1092.45
1.25,0.17,1108.30
1.27,0.16,1139.36
1.29,0.16,1153.15
1.31,0.14,1183.73
1.33,0.14,1185.41
1.35,0.14,1199.39
1.37,0.13,1228.51
1.39,0.13,1230.50
1.41,0.12,1259.36
1.43,0.11,1261.40
1.45,0.11,1274.53
1.47,0.10,1305.14
1.49,0.10,1306.20
1.51,0.09,1320.32
1.53,0.09,1322.19
1.55,0.09,1335.22
1.57,0.07,1365.84
1.59,0.08,1351.76
1.61,0.07,1381.02
1.63,0.07,1366.95
1.65,0.06,1396.76
1.67,0.06,1397.61
1.68,0.06,1411.09
1.70,0.06,1397.61
1.73,0.06,1411.09
1.74,0.05,1427.13
1.76,0.05,1441.72
1.78,0.05,1428.57
1.80,0.05,1442.02
1.82,0.04,1456.31
1.84,0.05,1442.89
1.86,0.04,1457.49
1.88,0.03,1472.08
1.90,0.04,1458.97
1.92,0.03,1471.48
1.94,0.03,1472.97
1.96,0.03,1471.78
1.98,0.03,1473.57
2.00,0.03,1472.67
2.02,0.03,1487.55
2.04,0.03,1473.87
2.06,0.03,1486.95
2.08,0.03,1487.85
2.10,0.03,1487.25
2.12,0.03,1488.16
2.14,0.03,1487.25
2.16,0.03,1488.76
2.18,0.03,1488.76
2.20,0.03,1486.95
2.22,0.03,1487.85
2.24,0.03,1487.85
2.26,0.02,1502.12
2.28,0.03,1489.66
2.30,0.02,1502.12
2.32,0.02,1503.04
2.34,0.02,1502.43
2.36,0.03,1489.36
2.38,0.02,1501.52
2.40,0.02,1502.43
2.42,0.02,1504.86
2.44,0.03,1487.25
2.46,0.02,1502.73
2.48,0.02,1518.53
2.50,0.02,1503.95
2.52,0.02,1503.04
2.54,0.02,1502.12
2.55,0.02,1519.14
2.58,0.02,1516.07
2.59,0.03,1473.87
2.61,0.03,1472.67
2.63,0.03,1472.08
2.65,0.03,1472.97
2.67,0.05,1442.60
2.69,0.06,1412.80
2.71,0.05,1440.85
2.73,0.04,1443.48
2.75,0.06,1411.37
2.77,0.07,1366.40
2.79,0.07,1381.86
2.81,0.06,1396.76
2.83,0.06,1396.48
2.85,0.10,1306.46
2.87,0.09,1320.85
2.89,0.08,1350.39
2.91,0.08,1351.21
2.93,0.09,1320.85
2.95,0.12,1260.89
2.97,0.10,1290.49
2.99,0.10,1304.88
3.01,0.09,1336.84
3.03,0.12,1244.94
3.05,0.13,1229.76
3.07,0.12,1260.12
3.09,0.10,1305.67
3.11,0.09,1320.85
3.13,0.14,1183.49
3.15,0.14,1200.12
3.17,0.12,1244.18
3.19,0.10,1290.75
3.21,0.10,1306.20
3.23,0.16,1153.85
3.25,0.14,1184.21
3.27,0.12,1244.18
3.29,0.11,1275.30
3.31,0.10,1290.49
3.33,0.16,1139.36
3.35,0.14,1183.01
3.36,0.13,1229.76
3.39,0.11,1261.40
3.40,0.10,1304.88
3.42,0.16,1139.36
3.44,0.14,1183.49
3.46,0.12,1245.44
3.48,0.10,1289.70
