tempo,erro,velocidade
0.07,0.6,0.0
0.08,0.6,0.0
0.09,-2.61,8333.33
0.1,0.29,794.38
0.12,0.29,817.13
0.14,0.26,881.03
0.16,0.3,769.72
0.17,0.35,641.03
0.19,0.4,528.85
0.21,0.44,416.67
0.23,0.48,320.51
0.25,0.51,240.38
0.27,0.54,160.26
0.29,0.56,112.18
0.31,0.58,48.08
0.32,0.59,16.96
0.34,0.6,0.0
0.36,0.59,18.03
0.37,0.6,0.0
0.39,0.59,18.02
0.41,0.59,33.95
0.43,0.59,16.97
0.45,0.59,33.94
0.46,0.59,16.97
0.48,0.59,16.97
0.5,0.59,16.97
0.52,0.59,16.97
0.53,0.59,33.94
0.55,0.57,67.87
0.57,0.55,118.78
0.59,0.53,176.28
0.61,0.51,224.36
0.63,0.5,272.44
0.65,0.49,288.46
0.66,0.46,352.56
0.68,0.46,368.35
0.7,0.44,416.67
0.72,0.42,465.04
0.74,0.4,512.82
0.76,0.39,544.87
0.78,0.37,592.95
0.79,0.36,624.33
0.81,0.35,641.71
0.83,0.34,688.66
0.85,0.32,737.18
0.87,0.31,753.69
0.89,0.29,801.28
0.91,0.29,816.78
0.93,0.27,849.54
0.94,0.26,881.22
0.96,0.25,897.44
0.98,0.24,945.71
1.0,0.23,961.33
1.02,0.22,994.23
1.04,0.21,1009.62
1.06,0.2,1031.55
1.08,0.19,1062.54
1.1,0.19,1077.94
1.12,0.18,1094.22
1.14,0.17,1123.48
1.16,0.17,1123.25
1.18,0.16,1154.08
1.2,0.15,1169.03
1.22,0.14,1198.42
1.23,0.14,1200.36
1.25,0.13,1214.57
1.27,0.13,1229.01
1.29,0.12,1245.7
1.31,0.11,1274.01
1.33,0.12,1260.63
1.35,0.1,1290.49
1.37,0.1,1289.96
1.39,0.1,1291.01
1.41,0.09,1320.85
1.43,0.09,1321.65
1.45,0.09,1336.03
1.47,0.09,1335.49
1.49,0.08,1350.67
1.51,0.07,1366.12
1.53,0.07,1366.4
1.55,0.07,1367.78
1.57,0.07,1380.74
1.59,0.06,1410.23
1.61,0.06,1397.89
1.63,0.06,1398.18
1.65,0.06,1411.09
1.67,0.05,1427.7
1.69,0.06,1412.23
1.71,0.05,1426.26
1.73,0.05,1427.41
1.75,0.05,1442.02
1.77,0.05,1442.31
1.79,0.04,1455.72
1.81,0.04,1444.94
1.83,0.04,1457.49
1.85,0.03,1471.18
1.87,0.04,1457.49
1.89,0.04,1457.49
1.91,0.04,1458.08
1.93,0.03,1473.57
1.95,0.03,1470.59
1.97,0.04,1458.67
1.99,0.03,1473.57
2.01,0.03,1486.95
2.03,0.03,1473.57
2.05,0.03,1472.67
2.07,0.03,1471.78
2.08,0.03,1488.76
2.1,0.03,1486.95
2.12,0.03,1472.67
2.14,0.03,1487.25
2.16,0.03,1488.46
2.18,0.03,1487.25
2.2,0.03,1473.27
2.22,0.03,1487.85
2.24,0.03,1487.85
2.26,0.03,1487.25
2.28,0.03,1473.27
2.3,0.03,1487.25
2.32,0.03,1487.55
2.34,0.03,1473.57
2.36,0.03,1488.76
2.38,0.03,1486.35
2.4,0.03,1487.85
2.42,0.03,1487.85
2.44,0.03,1473.27
2.46,0.03,1487.85
2.48,0.03,1487.85
2.5,0.03,1488.76
2.52,0.03,1485.15
2.54,0.03,1475.36
2.56,0.03,1487.85
2.58,0.03,1487.85
2.6,0.03,1486.35
2.62,0.03,1474.16
2.64,0.03,1486.95
2.66,0.03,1488.76
2.68,0.03,1486.95
2.7,0.03,1487.85
2.72,0.03,1473.57
2.74,0.02,1501.52
2.76,0.03,1474.16
2.78,0.03,1486.95
2.8,0.03,1487.25
2.82,0.03,1488.46
2.84,0.03,1487.85
2.86,0.03,1472.97
2.88,0.03,1486.95
2.89,0.03,1487.85
2.92,0.03,1473.27
2.93,0.03,1488.76
2.95,0.03,1486.65
2.97,0.03,1489.06
2.99,0.03,1487.85
3.01,0.03,1486.95
3.03,0.03,1488.46
3.05,0.03,1486.95
3.07,0.03,1488.16
3.09,0.03,1488.46
3.11,0.03,1472.97
3.13,0.03,1487.55
3.15,0.03,1487.25
3.17,0.03,1472.67
3.19,0.03,1487.85
3.21,0.03,1486.95
3.23,0.03,1487.55
3.25,0.03,1473.87
3.27,0.03,1487.85
3.29,0.03,1487.55
3.31,0.03,1488.16
3.33,0.03,1488.76
3.35,0.03,1472.67
3.37,0.03,1486.95
3.39,0.03,1488.76
3.41,0.03,1487.55
3.43,0.03,1472.08
3.45,0.03,1488.46
3.47,0.03,1472.08
3.49,0.03,1472.67
3.51,0.03,1472.67
3.53,0.03,1488.76
3.55,0.03,1487.85
3.57,0.03,1486.35
3.59,0.03,1472.97
3.61,0.03,1489.06
3.63,0.03,1487.85
3.65,0.03,1486.95
3.67,0.03,1487.25
3.69,0.03,1474.16
3.7,0.03,1486.95
3.73,0.03,1488.76
3.74,0.03,1486.35
3.76,0.03,1474.16
3.78,0.03,1486.65
3.8,0.03,1487.55
3.82,0.03,1474.16
3.84,0.03,1471.78
3.86,0.03,1488.76
3.88,0.03,1486.95
3.9,0.03,1473.57
3.92,0.03,1487.55
3.94,0.03,1472.97
3.96,0.03,1486.95
3.98,0.03,1473.57
4.0,0.03,1471.78
4.02,0.03,1488.76
4.04,0.03,1486.95
4.06,0.03,1473.57
4.08,0.03,1487.55
4.1,0.03,1472.97
4.12,0.03,1487.25
4.14,0.03,1488.16
4.16,0.03,1472.08
4.18,0.03,1472.67
4.2,0.03,1488.76
4.22,0.03,1471.78
4.24,0.03,1487.25
4.26,0.03,1473.27
4.28,0.03,1487.25
4.3,0.03,1473.27
4.32,0.03,1472.37
4.34,0.03,1487.55
4.36,0.03,1487.85
4.38,0.03,1474.16
4.4,0.03,1486.95
4.42,0.03,1472.67
4.44,0.03,1487.85
4.46,0.03,1472.67
4.48,0.03,1487.85
4.5,0.03,1473.57
4.51,0.03,1487.85
4.53,0.03,1486.35
4.55,0.03,1474.16
4.57,0.03,1486.35
4.59,0.03,1487.85
4.61,0.03,1474.16
4.63,0.03,1471.78
4.65,0.03,1472.67
4.67,0.03,1487.85
4.69,0.03,1473.57
4.71,0.03,1471.78
4.73,0.03,1472.08
4.75,0.03,1473.27
4.77,0.03,1472.97
4.79,0.03,1471.78
4.81,0.04,1458.97
4.83,0.03,1472.67
4.85,0.03,1485.75
4.87,0.04,1459.56
4.89,0.03,1471.78
4.91,0.03,1472.67
4.93,0.03,1488.16
4.95,0.04,1457.19
4.97,0.03,1472.67
4.99,0.03,1488.16
5.01,0.03,1473.27
5.03,0.03,1471.78
5.05,0.03,1487.55
5.07,0.03,1472.37
5.09,0.03,1474.16
5.11,0.03,1486.95
5.13,0.03,1472.08
5.15,0.03,1472.67
5.17,0.03,1474.16
5.19,0.03,1471.78
5.21,0.03,1488.16
5.23,0.03,1472.67
5.25,0.03,1472.37
5.27,0.03,1473.57
5.28,0.03,1472.67
5.31,0.03,1472.67
5.32,0.03,1472.67
5.34,0.03,1487.55
5.36,0.04,1456.9
5.39,0.03,1472.97
5.4,0.03,1472.37
5.42,0.03,1487.25
5.44,0.03,1473.87
5.46,0.04,1456.9
5.48,0.03,1472.67
5.5,0.03,1487.55
5.52,0.03,1472.37
5.54,0.03,1474.16
5.56,0.03,1471.18
5.58,0.03,1473.57
5.6,0.03,1472.37
5.62,0.03,1472.67
5.64,0.03,1472.67
5.66,0.03,1472.67
5.68,0.03,1487.85
5.7,0.03,1473.27
5.72,0.03,1470.89
5.74,0.03,1474.16
5.76,0.03,1473.27
5.78,0.03,1472.67
5.8,0.03,1472.67
5.82,0.03,1486.35
5.84,0.03,1473.27
5.86,0.03,1472.67
5.88,0.03,1472.67
5.9,0.03,1473.57
5.92,0.03,1486.35
5.94,0.03,1474.16
5.96,0.03,1472.08
5.98,0.03,1471.18
6.0,0.03,1474.76
6.02,0.03,1471.78
6.04,0.03,1472.67
6.06,0.03,1473.57
6.08,0.03,1471.78
6.09,0.03,1472.67
6.12,0.03,1472.97
6.14,0.03,1472.37
6.16,0.03,1487.85
6.18,0.03,1472.08
6.2,0.03,1472.67
6.21,0.03,1472.08
6.23,0.03,1474.76
6.25,0.03,1472.67
6.27,0.03,1472.67
6.29,0.03,1472.67
6.31,0.03,1486.05
6.33,0.03,1472.97
6.35,0.03,1472.67
6.37,0.03,1474.16
6.39,0.03,1471.78
6.41,0.03,1473.57
6.43,0.03,1472.37
6.45,0.03,1472.08
6.47,0.03,1472.67
6.49,0.03,1488.16
6.51,0.03,1472.37
6.53,0.04,1457.49
6.55,0.03,1486.95
6.57,0.03,1474.46
6.59,0.03,1472.37
6.61,0.03,1472.37
6.63,0.03,1473.27
6.65,0.03,1485.45
6.67,0.03,1473.27
6.69,0.03,1473.57
6.71,0.03,1473.57
6.73,0.03,1486.05
6.75,0.03,1473.57
6.77,0.03,1473.57
6.79,0.03,1486.35
6.81,0.03,1473.27
6.83,0.03,1487.55
6.85,0.03,1472.67
6.87,0.03,1488.16
6.89,0.03,1487.85
6.91,0.03,1487.85
6.93,0.03,1472.67
6.95,0.03,1472.67
6.97,0.03,1487.85
6.99,0.03,1488.46
7.01,0.03,1487.85
7.02,0.03,1472.08
7.05,0.03,1488.76
7.06,0.03,1486.35
7.08,0.03,1473.87
7.1,0.03,1472.08
7.12,0.03,1488.76
7.14,0.03,1485.75
7.16,0.03,1474.76
7.18,0.03,1471.78
7.2,0.03,1488.16
7.22,0.03,1486.95
7.24,0.03,1474.16
7.26,0.03,1487.55
7.28,0.03,1472.08
7.3,0.03,1488.76
7.32,0.03,1486.95
7.34,0.03,1473.57
7.36,0.03,1487.85
7.38,0.03,1487.25
7.4,0.03,1486.95
7.42,0.03,1474.16
7.44,0.03,1486.95
7.46,0.03,1487.85
7.48,0.03,1473.57
7.5,0.03,1486.35
7.52,0.03,1474.16
7.54,0.03,1486.95
7.56,0.03,1473.57
7.58,0.03,1486.05
7.6,0.03,1473.57
7.62,0.03,1487.85
7.64,0.03,1472.67
7.66,0.03,1487.85
7.68,0.03,1487.25
7.7,0.03,1487.85
7.72,0.03,1473.27
7.74,0.03,1488.76
7.76,0.03,1485.75
7.78,0.03,1489.06
7.8,0.03,1487.25
7.82,0.03,1474.16
7.84,0.03,1486.95
7.86,0.03,1487.85
7.87,0.03,1487.25
7.89,0.03,1473.27
7.91,0.03,1472.37
7.93,0.03,1489.06
7.95,0.03,1487.85
7.97,0.03,1485.75
7.99,0.03,1473.87
8.01,0.03,1487.85
8.03,0.02,1503.34
8.05,0.03,1473.27
8.07,0.03,1486.95
8.09,0.03,1488.76
8.11,0.03,1487.25
8.13,0.03,1487.55
8.15,0.03,1472.67
8.17,0.03,1487.85
8.19,0.03,1487.85
8.21,0.03,1487.85
8.23,0.03,1488.76
8.25,0.03,1471.78
8.27,0.02,1503.65
