tempo,erro,velocidade
0.06,0.60,0.00
0.07,0.60,0.00
0.08,0.60,0.00
0.09,-1.46,5357.14
0.10,0.32,716.18
0.12,0.29,801.11
0.14,0.27,850.09
0.16,0.30,784.75
0.18,0.32,737.18
0.20,0.33,689.54
0.22,0.34,673.08
0.23,0.35,641.03
0.25,0.36,624.60
0.27,0.36,625.40
0.29,0.35,641.03
0.31,0.35,640.61
0.33,0.34,672.93
0.35,0.34,673.51
0.37,0.33,704.83
0.39,0.32,737.34
0.40,0.31,753.53
0.42,0.29,800.43
0.44,0.29,801.97
0.46,0.27,849.54
0.48,0.26,881.22
0.50,0.25,897.05
0.52,0.24,930.08
0.54,0.23,960.92
0.55,0.22,993.59
0.57,0.21,1026.08
0.59,0.20,1032.18
0.61,0.19,1077.28
0.63,0.18,1079.03
0.65,0.17,1122.80
0.67,0.16,1138.89
0.69,0.16,1153.61
0.71,0.15,1169.03
0.73,0.14,1199.39
0.75,0.13,1214.57
0.77,0.13,1230.50
0.79,0.12,1243.93
0.81,0.12,1260.38
0.83,0.12,1260.12
0.85,0.10,1291.27
0.87,0.10,1304.88
0.89,0.10,1306.46
0.91,0.09,1320.85
0.93,0.09,1335.22
0.95,0.08,1351.21
0.97,0.08,1352.04
0.99,0.07,1365.57
1.01,0.07,1367.23
1.03,0.07,1380.74
1.05,0.06,1397.61
1.07,0.06,1395.91
1.09,0.06,1411.37
1.11,0.06,1411.94
1.13,0.06,1413.37
1.14,0.05,1427.13
1.16,0.05,1427.13
1.18,0.05,1440.85
1.21,0.05,1442.89
1.22,0.05,1442.31
1.25,0.04,1458.38
1.26,0.04,1456.61
1.28,0.03,1472.08
1.30,0.04,1458.97
1.32,0.03,1471.48
1.34,0.03,1472.37
1.36,0.03,1474.16
1.38,0.03,1485.75
1.40,0.03,1474.76
1.42,0.03,1485.75
1.44,0.03,1488.46
1.46,0.03,1487.85
1.48,0.03,1488.46
1.50,0.03,1487.25
1.52,0.03,1488.16
1.54,0.03,1489.06
1.56,0.03,1486.95
1.58,0.03,1487.85
1.60,0.02,1502.43
1.62,0.03,1489.36
1.64,0.02,1501.52
1.66,0.03,1488.46
1.68,0.03,1488.76
1.70,0.02,1502.12
1.72,0.03,1488.76
1.74,0.02,1501.52
1.76,0.03,1489.36
1.78,0.02,1502.12
1.80,0.02,1502.12
1.82,0.03,1488.76
1.84,0.02,1503.04
1.86,0.03,1488.16
1.88,0.02,1502.12
1.90,0.03,1488.46
1.92,0.03,1487.85
1.94,0.02,1503.95
1.96,0.02,1501.52
1.98,0.03,1489.36
2.00,0.03,1486.95
2.02,0.02,1503.95
2.03,0.02,1501.21
2.06,0.03,1489.06
2.07,0.03,1487.55
2.09,0.02,1503.95
2.11,0.02,1501.52
2.13,0.03,1488.46
2.15,0.03,1488.76
2.17,0.02,1502.12
2.19,0.03,1487.85
2.21,0.02,1503.04
2.23,0.03,1488.76
2.25,0.02,1502.12
2.27,0.03,1487.85
2.29,0.02,1502.43
2.31,0.03,1488.46
2.33,0.02,1502.43
2.35,0.03,1488.46
2.37,0.02,1503.04
2.39,0.03,1487.85
2.41,0.02,1503.95
2.43,0.02,1501.52
2.45,0.03,1488.46
2.47,0.03,1488.76
2.49,0.02,1501.21
2.51,0.03,1488.76
2.53,0.02,1502.43
2.55,0.03,1488.46
2.57,0.03,1487.85
2.59,0.02,1501.82
2.61,0.03,1489.06
2.63,0.03,1487.85
2.65,0.03,1487.85
2.67,0.02,1503.04
2.69,0.03,1488.76
2.71,0.03,1487.85
2.73,0.02,1501.52
2.75,0.03,1488.46
2.77,0.03,1487.85
2.79,0.03,1487.55
2.81,0.03,1489.06
2.83,0.02,1502.12
2.85,0.03,1488.76
2.87,0.03,1486.95
2.88,0.02,1502.43
2.90,0.03,1489.36
2.92,0.03,1486.95
2.94,0.03,1487.85
2.96,0.02,1502.43
2.98,0.03,1488.46
3.00,0.02,1502.43
3.02,0.03,1488.46
3.04,0.03,1488.76
3.06,0.02,1501.52
3.08,0.03,1487.85
3.10,0.03,1487.85
3.12,0.03,1487.55
3.14,0.03,1489.66
3.16,0.03,1486.95
3.18,0.03,1487.85
3.20,0.03,1487.85
3.22,0.02,1503.04
3.24,0.03,1487.85
3.26,0.03,1487.25
3.28,0.03,1473.27
3.30,0.02,1502.43
3.32,0.03,1487.55
3.34,0.03,1488.76
3.36,0.03,1472.67
3.38,0.02,1502.43
3.40,0.03,1488.16
3.42,0.03,1488.16
3.44,0.03,1486.95
3.46,0.03,1489.36
3.48,0.03,1488.16
3.50,0.03,1487.55
3.52,0.03,1487.25
3.54,0.03,1488.76
3.56,0.02,1502.73
3.58,0.03,1486.65
3.60,0.03,1487.85
3.62,0.03,1488.46
3.64,0.03,1488.76
